LEAID,NAME,Close_Five_Years_Actual,Close_Five_Years_Prediction
1723850,LYONS SD 103,False,False
1926280,SIGOURNEY COMM SCHOOL DISTRICT,False,False
3600039,AMBER CHARTER SCHOOL,False,True
2907080,CANTON R-V,False,False
2400600,ST. MARY'S COUNTY PUBLIC SCHOOLS,False,False
4200812,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,False,False
0800011,GRAND VALLEY BOCES,False,True
3400733,TRILLIUM CHARTER SCHOOL,True,True
2803090,NETTLETON SCHOOL DIST,False,False
3900383,OAKSTONE COMMUNITY SCHOOL,False,True
1918510,MAQUOKETA COMM SCHOOL DISTRICT,False,False
4005010,BOONE-APACHE,False,False
2905370,BOLIVAR R-I,False,False
0609640,CONEJO VALLEY UNIFIED,False,False
1714160,ELWOOD CCSD 203,False,False
3413740,RED BANK,False,False
1000026,ODYSSEY CHARTER SCHOOL,False,False
1200270,CITRUS,False,False
3300020,ALTON SAU OFFICE,False,False
4200115,PERSEUS HOUSE CS OF EXCELLENCE,False,False
4502580,LANCASTER 01,False,False
2700084,REGION 3 - NORTHEAST SERVICE COOP,False,False
2800390,ALCORN SCHOOL DIST,False,False
3900144,PAUL LAURENCE DUNBAR ACADEMY,True,True
2314040,WOODVILLE SCHOOL DEPARTMENT,False,True
3605640,BRONXVILLE UNION FREE SCHOOL DISTRICT,False,False
4800021,GIRLS & BOYS PREPARATORY ACADEMY,False,True
4217580,NORTHERN BEDFORD COUNTY SD,False,False
0500032,BEARDEN SCHOOL DISTRICT,False,False
2313830,WINDSOR SCHOOL DEPARTMENT,True,True
2791443,GOODHUE COUNTY EDUCATION  DIST.,False,False
3026550,TROY ELEM,False,False
0615180,GILROY UNIFIED,False,False
4841280,SPRINGTOWN ISD,False,False
3180080,EDUCATIONAL SERVICE UNIT 08,False,False
4800098,JEAN MASSIEU ACADEMY,False,True
4200808,SCI-RETREAT,True,True
1810800,SOUTHWESTERN-JEFFERSON CO CON,False,False
3502370,SANTA FE PUBLIC SCHOOLS,False,False
1301740,DEKALB COUNTY,False,False
2004260,BURLINGAME PUBLIC SCHOOL,False,False
3200420,PERSHING COUNTY SCHOOL DISTRICT,False,False
4200785,VANGUARD SCHOOL,True,True
2700118,ACHIEVE LANGUAGE ACADEMY,False,True
1725950,MILFORD CCSD 280,True,False
4828550,LUFKIN ISD,False,False
4900840,RICH DISTRICT,False,False
2512100,QUABOAG REGIONAL,False,False
2916740,KIRKSVILLE R-III,False,False
0800256,SOUTHEASTERN BOCES,False,True
5304470,LONGVIEW SCHOOL DISTRICT,False,False
4106900,THREE RIVERS/JOSEPHINE COUNTY SD,False,False
2200900,LAFOURCHE PARISH,False,False
0803270,DEER TRAIL SCHOOL DISTRICT NO. 26J,False,False
4664140,RUTLAND SCHOOL DISTRICT 39-4,False,True
2803270,NORTH TIPPAH SCHOOL DIST,False,False
3399926,MERRIMACK SAU OFFICE,False,False
3416200,TINTON FALLS,False,False
2900586,ST LOUIS LANG IMMERSION SCHOOL,False,True
2928200,SHELL KNOB 78,False,False
2630840,SANDUSKY COMMUNITY SCHOOL DISTRICT,False,False
2101950,FLOYD COUNTY,False,False
2000005,SABETHA,True,False
2700193,BLUESKY CHARTER SCHOOL,False,False
2911340,ELDON R-I,False,False
1701394,DES PLAINES VALLEY EFE,False,True
3628890,TRI-VALLEY CENTRAL SCHOOL DISTRICT,False,False
2717220,KIMBALL PUBLIC SCHOOL DISTRICT,False,False
0500394,ARKANSAS VIRTUAL ACADEMY,False,False
0621000,LAS VIRGENES UNIFIED,False,False
0409250,WILLCOX UNIFIED DISTRICT,False,False
2629540,REETHS-PUFFER SCHOOLS,False,False
3617760,LONG LAKE CENTRAL SCHOOL DISTRICT,False,False
3701080,CURRITUCK COUNTY SCHOOLS,False,False
3619350,MILFORD CENTRAL SCHOOL DISTRICT,False,False
0600015,LUCERNE VALLEY UNIFIED,False,False
3625740,SARANAC LAKE CENTRAL SCHOOL DISTRICT,False,False
2600080,EL-HAJJ MALIK EL-SHABAZZ ACADEMY,False,True
3100125,DILLER-ODELL PUBLIC SCHOOLS,False,False
0903180,OLD SAYBROOK SCHOOL DISTRICT,False,False
0616260,GUADALUPE UNION ELEMENTARY,False,False
1100043,E.L. HAYNES PCS,False,False
0400096,MOUNTAIN SCHOOL  INC.,False,True
3620370,NEW HARTFORD CENTRAL SCHOOL DISTRICT,False,False
2105820,WEBSTER COUNTY,False,False
3611460,FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT,False,False
0691043,TEHAMA COUNTY OFFICE OF EDUCATION,False,False
3000063,TRI COUNTY COOP,False,True
4900047,LIBERTY ACADEMY,False,False
2620820,LAKESHORE SCHOOL DISTRICT (BERRIEN),False,False
4200017,MANCHESTER ACADEMIC CS,False,True
2200055,GRAMBLING STATE LAB SCHOOLS,False,True
2923310,OTTERVILLE R-VI,False,False
0409540,YOUNG ELEMENTARY DISTRICT,False,False
4010500,EARLSBORO,False,False
3904793,FAIRLAND LOCAL,False,False
3003270,BELFRY K-12 SCHOOLS,False,False
0602850,ANTIOCH UNIFIED,False,False
2600138,MICHIGAN HEALTH ACADEMY,True,True
2513260,WORTHINGTON (NON-OP),True,True
0100990,CULLMAN CITY,False,False
3415300,SOUTH HUNTERDON REGIONAL,True,False
3627540,SOUTHAMPTON UNION FREE SCHOOL DISTRICT,False,False
5005250,LUDLOW SCHOOL DISTRICT,False,False
3608580,CROTON-HARMON UNION FREE SCHOOL DISTRICT,False,False
3406210,GREENWICH TOWNSHIP,False,False
0102910,RUSSELLVILLE CITY,False,False
3813440,MUNICH 19,False,True
0635810,SANTA ROSA ELEMENTARY,False,False
3003660,SPRING CREEK ELEM,False,False
4846470,WORTHAM ISD,False,False
1600145,IDAHO SCIENCE & TECHNOLOGY,False,True
1700231,WEST CENTRAL REGIONAL SYSTEM,False,True
4838730,SAN ANTONIO ISD,False,False
1716260,GARDNER S WILMINGTON TWP HSD 73,False,False
2610140,COLDWATER COMMUNITY SCHOOLS,False,False
4808190,ANAHUAC ISD,False,False
3904983,CANTON LOCAL,False,False
1732520,PRAIRIE GROVE CSD 46,False,False
4101620,ASTORIA SD 1,False,False
1705640,BELLEVILLE TWP HSD 201,False,False
1801590,DEKALB CO CTL UNITED SCH DIST,False,False
2311490,MSAD 39,True,True
3626070,SCHODACK CENTRAL SCHOOL DISTRICT,False,False
4207540,DEER LAKES SD,False,False
1706090,BERWYN SOUTH SD 100,False,False
4838910,SAN ISIDRO ISD,False,False
4012690,GLENCOE,False,False
3407380,HOLLAND TOWNSHIP,False,False
4836570,REAGAN COUNTY ISD,False,False
0616323,GUSTINE UNIFIED,False,False
3171580,HASTINGS PUBLIC SCHOOLS,False,False
1740380,VIRDEN CUSD 4,True,False
2600257,BLUE WATER LEARNING ACADEMY,False,True
4502130,FLORENCE 01,False,False
3904491,TORONTO CITY,False,False
0609870,CORONADO UNIFIED,False,False
2600310,PREVAIL ACADEMY,False,False
1701383,EXC CHILDREN HAVE OPPORTUNITIES,False,False
2900012,DON BOSCO EDUCATION CTR.,True,True
4280170,CRAWFORD COUNTY CTC,False,False
1921840,OSAGE COMM SCHOOL DISTRICT,False,False
4200091,21ST CENTURY CYBER CS,False,False
3622500,PAVILION CENTRAL SCHOOL DISTRICT,False,False
3904942,CRESTVIEW LOCAL,False,False
4028350,SPRINGER,False,False
1712930,EARLVILLE CUSD 9,False,False
0408680,TUBA CITY UNIFIED DISTRICT,False,False
3003450,BELT H S,False,False
0901200,EAST HADDAM SCHOOL DISTRICT,False,False
1713140,EAST MAINE SD 63,False,False
3303640,HART'S LOCATION SCHOOL DISTRICT,False,False
0503710,BUFFALO IS. CENTRAL SCH. DIST.,False,False
5100083,PROJECT RENEW/NORTHAMPTON CO,False,True
4800053,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,False,True
2680930,SAGINAW ISD,False,False
4800030,NORTH HILLS PREPARATORY SCHOOL,False,False
4824000,HUNTINGTON ISD,False,False
1800056,OPTIONS CHARTER SCH - NOBLESVILLE,False,True
1917100,NORTH CEDAR COMM SCHOOL DISTRICT,False,False
3900306,COLUMBUS ARTS & TECHNOLOGY ACADEMY,False,True
3910003,SIDNEY CITY,False,False
3305790,PLYMOUTH SCHOOL DISTRICT,False,False
3200150,ESMERALDA COUNTY SCHOOL DISTRICT,False,False
3904471,ST BERNARD-ELMWOOD PLACE CITY,False,False
3180170,EDUCATIONAL SERVICE UNIT 17,False,True
2004710,CHEROKEE,False,False
5516860,WINTER SCHOOL DISTRICT,False,False
1712700,DUNLAP CUSD 323,False,False
0503030,PEA RIDGE SCHOOL DISTRICT,False,False
4811520,BROOKELAND ISD,False,False
0621870,LINDSAY UNIFIED,False,False
0625350,MONSON-SULTANA JOINT UNION ELEMENTARY,False,False
2011040,GOLDEN PLAINS,False,False
0100750,CLAY COUNTY,False,False
3411190,NETCONG,False,False
3904494,URBANA CITY,False,False
3000060,BIG SKY SE COOP,False,False
5005010,JOHNSON SCHOOL DISTRICT,False,False
3904374,CHILLICOTHE CITY,False,False
4208790,EASTERN YORK SD,False,False
0601396,EAST MERCED COUNTY PUBLIC FACILITIES FINANCING AUTHORITY,False,True
0905130,WILTON SCHOOL DISTRICT,False,False
2803480,PASCAGOULA SCHOOL DIST,False,False
4800233,WEST TEXAS STATE SCHOOL,True,True
2506780,LEOMINSTER,False,False
2004620,CHAPMAN,False,False
2610050,CLINTON COMMUNITY SCHOOLS,False,False
5501710,BRISTOL #1 SCHOOL DISTRICT,False,False
2510500,SAUGUS,False,False
4213380,LAUREL  SD,False,False
2929730,SUCCESS R-VI,False,True
3015120,JEFFERSON H S,False,False
2925350,PLEASANT HOPE R-VI,False,False
0403820,HOLBROOK UNIFIED DISTRICT,False,False
3000097,NORTH STAR HS,False,False
0604440,BELLFLOWER UNIFIED,False,False
4900019,FAST FORWARD HIGH,False,False
2300051,ME EDUCATIONAL CTR FOR THE DEAF & HARD OF HEARING,False,True
3303330,GOVERNOR WENTWORTH REG SCHOOL DISTRICT,False,False
2502220,AUBURN,False,False
5007350,SHELDON SCHOOL DISTRICT,False,False
0903120,NORWICH SCHOOL DISTRICT,False,False
0508490,KIRBY SCHOOL DISTRICT,False,False
1722710,LEXINGTON CUSD 7,False,False
3026460,TREGO ELEM,False,False
1704170,TOWNSHIP HSD 214,False,False
3000021,DANIELS,False,False
3177180,SOUTHERN SCHOOL DIST 1,False,False
3022800,RONAN H S,False,False
3406030,GLOUCESTER TOWNSHIP,False,False
3901346,MADISON AVENUE SCHOOL OF ARTS,False,True
5006300,OTTER VALLEY UHSD 8,False,False
4219020,PHILIPSBURG-OSCEOLA AREA SD,False,False
2700241,TEAM ACADEMY,False,True
3408040,KINNELON BOROUGH,False,False
0621180,LATROBE,False,False
1304590,STEWART COUNTY,False,False
1800270,AVON COMMUNITY SCHOOL CORP,False,False
3904430,MAPLE HEIGHTS CITY,False,False
3408880,LOGAN TOWNSHIP,False,False
5099947,WINDHAM NORTHEAST SUPERVISORY UNION,False,False
3615810,JERICHO UNION FREE SCHOOL DISTRICT,False,False
5099905,SOUTHWEST VERMONT SUPERVISORY UNION,False,False
1726180,FAIRFIELD COMM H S DIST 225,False,False
2505040,FREETOWN,True,True
2912900,GLASGOW,False,False
4846710,ZAPATA COUNTY ISD,False,False
4211310,HALIFAX AREA SD,False,False
1808250,NORTHWEST ALLEN COUNTY SCHOOLS,False,False
5103390,ROCKINGHAM CO PBLC SCHS,False,False
0600089,AMADOR COUNTY ROP,False,True
4830750,MILES ISD,False,False
3904788,MADISON LOCAL,False,False
4826850,LASARA ISD,False,False
4110410,REEDSPORT SD 105,False,False
2102910,JACKSON INDEPENDENT,False,False
4812120,BURKBURNETT ISD,False,False
0643380,YREKA UNION ELEMENTARY,False,False
3604350,BELFAST CENTRAL SCHOOL DISTRICT,False,False
3100070,AMHERST PUBLIC SCHOOLS,False,False
4702070,JACKSON COUNTY,False,False
3680300,ERIE 1 BOCES,False,False
4800162,REG 11 EDUCATION SERVICE CENTER,False,False
5100063,JACKSON RIVER GOVERNOR'S SCHOOL,False,True
4809090,AVINGER ISD,False,False
3400029,ELYSIAN CHARTER SCHOOL OF,False,False
5099926,LAMOILLE SOUTH SUPERVISORY UNION,False,False
1303090,JENKINS COUNTY,False,False
4019260,MASON,False,False
1800180,ARGOS COMMUNITY SCHOOLS,False,False
2700274,RECOVERY SCHOOL OF SOUTHERN MN,True,True
3904700,REYNOLDSBURG CITY,False,False
4811070,BRACKETT ISD,False,False
4002430,ADA,False,False
1725020,MATTESON ESD 162,False,False
4200002,LANCASTER COUNTY ACADEMY,True,True
2706060,BRAHAM PUBLIC SCHOOL DISTRICT,False,False
3175690,PLEASANTON PUBLIC SCHOOLS,False,False
2732820,SARTELL-ST. STEPHEN SCHOOL DISTRICT,False,False
1813110,WESTVIEW SCHOOL CORPORATION,False,False
1913290,GRUNDY CENTER COMM SCHOOL DISTRICT,False,False
0635850,SANTA YNEZ VALLEY UNION HIGH,False,False
4200753,WIDENER PARTNERSHIP CS,False,True
5307530,ROOSEVELT SCHOOL DISTRICT,False,False
1732190,PONTIAC-W HOLLIDAY SD 105,False,False
4838670,SAMNORWOOD ISD,True,False
4813500,CENTRAL ISD,False,False
3501470,LAKE ARTHUR MUNICIPAL SCHOOLS,False,False
0600102,INYO COUNTY ROP,False,True
2600171,HENRY FORD ACADEMY,False,False
4666300,SIOUX VALLEY SCHOOL DISTRICT 05-5,False,False
4841880,SUNNYVALE ISD,False,False
2511790,TYRINGHAM (NON-OP),True,True
5309390,WAITSBURG SCHOOL DISTRICT,False,False
3904485,STRUTHERS CITY,False,False
1706390,BISMARCK HENNING CUSD,False,False
3416380,UNION CITY,False,False
4800259,TRINITY CHARTER SCHOOL,False,False
3904517,ZANESVILLE CITY,False,False
0405880,PALOMINAS ELEMENTARY DISTRICT,False,False
3005280,BUTTE ELEM,False,False
1727210,MOUNT PROSPECT SD 57,False,False
4816570,DEKALB ISD,False,False
2600959,LANSING CHARTER ACADEMY,False,True
2709750,CROSBY-IRONTON PUBLIC SCHOOL DIST.,False,False
1300015,CENTRAL SAVANNAH RIVER RESA,False,False
3904385,DEER PARK COMMUNITY CITY,False,False
2700147,CENTRAL MINNESOTA E.R.D.C.,False,True
5102880,PATRICK CO PBLC SCHS,False,False
5500044,BUSINESS AND ECONOMICS ACADEMY OF MILWAUKEE INC AGENCY,True,True
3399910,DERRY COOPERATIVE SAU OFFICE,False,False
2314300,RSU 58/MSAD 58,False,False
3619740,MONTICELLO CENTRAL SCHOOL DISTRICT,False,False
2506720,LEICESTER,False,False
4222200,SOUTHEASTERN GREENE SD,False,False
0904830,WATERBURY SCHOOL DISTRICT,False,False
5512150,PRAIRIE DU CHIEN AREA SCHOOL DISTRICT,False,False
2010800,WEST FRANKLIN,False,False
0901470,ENFIELD SCHOOL DISTRICT,False,False
5103130,PRINCE WM CO PBLC SCHS,False,False
4503660,SPARTANBURG 07,False,False
5504020,EAST TROY COMMUNITY SCHOOL DISTRICT,False,False
3800016,STRASBURG 15,False,False
2615060,FREELAND COMMUNITY SCHOOL DISTRICT,False,False
3303810,HOLDERNESS SCHOOL DISTRICT,False,False
0802490,BOULDER VALLEY SCHOOL DISTRICT NO. RE2,False,False
3404740,ENGLEWOOD CITY,False,False
3300038,ACADEMY FOR EQUINE SCIENCES CHARTER SCHOOL,True,True
2633750,TEKONSHA COMMUNITY SCHOOLS,False,False
3904427,LOVELAND CITY,False,False
4215810,MONTROSE AREA SD,False,False
3600010,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,False,False
2919140,LOCKWOOD R-I,False,False
2600330,ACADEMIC AND CAREER EDUCATION ACADEMY,False,True
2700361,RIVER HEIGHTS CHARTER SCHOOL,False,True
4007740,CLAREMORE,False,False
2700014,FRESHWATER ED. DIST.,False,False
4900044,SYRACUSE ARTS ACADEMY,False,False
3007200,COLUMBUS H S,False,False
4700145,TN SCH FOR BLIND,False,False
1734440,ROCKRIDGE CUSD 300,False,False
3618210,MALVERNE UNION FREE SCHOOL DISTRICT,False,False
2011910,ST JOHN-HUDSON,False,False
3415480,SOUTHERN REGIONAL,False,False
1709420,CHAMPAIGN CUSD 4,False,False
2928110,SHELBY CO. R-IV,False,False
3702400,JONES COUNTY SCHOOLS,False,False
4816950,DEVINE ISD,False,False
3904779,EDISON LOCAL,False,False
0400461,MOHAVE COUNTY JUVENILE DETENTION,False,True
3104200,BLUE HILL PUBLIC SCHOOLS,False,False
4704550,WILSON COUNTY,False,False
3400083,UNION CO TEAMS CHARTER SCHOOL,False,True
4032970,WISTER,False,False
2732250,ROSEAU PUBLIC SCHOOL DISTRICT,False,False
1300180,BAKER COUNTY,False,False
1722740,LEYDEN CHSD 212,False,False
0617850,HUENEME ELEMENTARY,False,False
0630480,PIONEER UNION ELEMENTARY,False,False
2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,False,False
2102220,GLASGOW INDEPENDENT,False,False
4800066,TEXAS EMPOWERMENT ACADEMY,False,True
1727570,MUNDELEIN CONS HSD 120,False,False
2800690,BENOIT SCHOOL DISTRICT,True,True
2000016,MARYSVILLE,False,False
1920850,NORTH MAHASKA COMM SCHOOL DISTRICT,False,False
4844890,WELLINGTON ISD,False,False
0633600,ROSEVILLE CITY ELEMENTARY,False,False
2309990,PRINCETON SCHOOL DEPARTMENT,False,False
3616830,LAWRENCE UNION FREE SCHOOL DISTRICT,False,False
1304260,PUTNAM COUNTY,False,False
4400750,NORTH KINGSTOWN,False,False
3610560,ELMIRA CITY SCHOOL DISTRICT,False,False
1703900,APTAKISIC-TRIPP CCSD 102,False,False
4018390,LOOKEBA SICKLES,False,False
3409450,MANCHESTER TOWNSHIP,False,False
0504170,WHITE CO. CENTRAL SCHOOL DIST.,False,False
0400258,CARDEN OF TUCSON  INC.,False,True
4220460,ROCHESTER AREA SD,False,False
4007320,CHATTANOOGA,False,False
0400643,EXCEL EDUCATION CENTERS COTTONWOOD  LLC,True,True
1715900,FREEPORT SD 145,False,False
4217770,NORTHGATE SD,False,False
5500047,DLH ACADEMY AGENCY,False,True
2506990,LONGMEADOW,False,False
2623910,MILLINGTON COMMUNITY SCHOOLS,False,False
2615750,GENESEE SCHOOL DISTRICT,False,False
4843720,UVALDE CISD,False,False
0400373,TUCSON INTERNATIONAL ACADEMY  INC.,False,True
2700092,MINNESOTA NEW COUNTRY SCHOOL,False,True
2602190,ALGONAC COMMUNITY SCHOOL DISTRICT,False,False
1100001,ARTS AND TECHNOLOGY PCS,True,True
3906522,COSHOCTON COUNTY,False,False
0400624,PINNACLE EDUCATION-DS  INC.,True,True
1810560,SOUTH SPENCER COUNTY SCH CORP,False,False
1900022,UNION COMM SCHOOL DISTRICT,False,False
4821180,GORDON ISD,False,False
2600968,VIRTUAL LEARNING ACADEMY OF ST. CLAIR COUNTY,False,True
2103270,LEE COUNTY,False,False
4216230,MUNCY SD,False,False
1718960,HIGH MOUNT SD 116,False,False
0500046,MANILA SCHOOL DISTRICT,False,False
2923250,OSBORN R-O,False,False
3600072,PINNACLE CHARTER SCHOOL,True,True
3303420,GREENLAND SCHOOL DISTRICT,False,False
4029670,TENKILLER,False,False
3303540,HAMPTON FALLS SCHOOL DISTRICT,False,False
2500010,OAKHAM (NON-OP),True,True
4217610,NORTHERN CAMBRIA SD,False,False
0800265,FORT LUPTON/KEENESBURG,False,True
3904964,VALLEY LOCAL,False,False
1302640,HANCOCK COUNTY,False,False
3628380,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,False,False
1718420,HARVARD CUSD 50,False,False
3700017,FRANCINE DELANY NEW SCHOOL,False,True
4216620,NEW CASTLE AREA SD,False,False
3502610,T OR C MUNICIPAL SCHOOLS,False,False
3904809,RIVERSIDE LOCAL,False,False
0638770,TAHOE-TRUCKEE JOINT UNIFIED,False,False
3502040,PENASCO INDEPENDENT SCHOOLS,False,False
0643020,WOODLAKE UNION ELEMENTARY,True,False
4818840,EXCELSIOR ISD,False,True
3501140,GRADY MUNICIPAL SCHOOLS,False,False
4200822,EASTERN UNIVERSITY ACADEMY CHARTER SCHOOL,False,True
1800077,ANDERSON PREPARATORY ACADEMY,False,True
2723910,NORWOOD PUBLIC SCHOOL DISTRICT,False,False
3400008,GREAT MEADOWS REGIONAL,False,False
5099923,FRANKLIN CENTRAL SUPERVISORY UNION,False,False
1701396,COOP ASSOC FOR SPEC EDUC,False,False
5606090,WESTON COUNTY SCHOOL DISTRICT #7,False,False
4818180,EDINBURG CISD,False,False
2709960,CYRUS PUBLIC SCHOOL DISTRICT,True,True
4826430,LAKE DALLAS ISD,False,False
2313380,WAYNE SCHOOL DEPARTMENT,True,True
0408430,PALOMA SCHOOL DISTRICT,False,False
3409120,PENNSVILLE TOWNSHIP,False,False
2627720,PELLSTON PUBLIC SCHOOLS,False,False
5900158,,False,False
3306720,TIMBERLANE REGIONAL SCHOOL DISTRICT,False,False
0804830,WELD COUNTY SCHOOL DISTRICT NO. RE-5J,False,False
3408490,LENAPE REGIONAL HS DISTRI,False,False
2311220,RSU 30/MSAD 30,False,False
2000002,SMOKY VALLEY,False,False
0101720,HALEYVILLE CITY,False,False
5102710,NORTHAMPTON CO PBLC SCHS,False,False
3300040,ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,False,True
4800150,REG 18 EDUCATION SERVICE CENTER,False,False
2200146,D'ARBONNE WOODS CHARTER SCHOOL,False,True
3700157,NC DEPT OF JUVENILE JUSTICE,False,True
3808130,GRAND FORKS 1,False,False
2505610,HALIFAX,False,False
3700530,CABARRUS COUNTY SCHOOLS,False,False
3405220,FLORENCE TOWNSHIP,False,False
1739660,UNION SD 81,False,False
2500027,COMMUNITY DAY CHARTER PUBLIC (DISTRICT),False,True
3401770,BLACK HORSE PIKE REGIONAL,False,False
5003720,EDEN SCHOOL DISTRICT,False,False
3904595,NEW BREMEN LOCAL,False,False
1700167,BROWN/CASS/MORGAN/SCOTT ROE,False,True
2303510,BREWER SCHOOL DEPARTMENT,False,False
2680340,DELTA-SCHOOLCRAFT ISD,False,False
5900177,,False,False
0400319,TLC CHARTER SCHOOLS  INC,True,True
4211730,SAUCON VALLEY SD,False,False
0804260,ROARING FORK SCHOOL DISTRICT NO. RE-1,False,False
4817790,EARLY ISD,False,False
3900645,NOBLE ACADEMY-COLUMBUS,False,True
3170530,FALLS CITY PUBLIC SCHOOLS,False,False
4006030,BYARS,False,True
2700157,FACE TO FACE ACADEMY,False,True
2804260,TISHOMINGO CO SP MUN SCH DIST,False,False
4213050,LAKELAND SD,False,False
3303780,HINSDALE SCHOOL DISTRICT,False,False
3305580,PEMBROKE SCHOOL DISTRICT,False,False
4815960,CUERO ISD,False,False
3621000,NORTH COLONIE CSD,False,False
4818720,EUSTACE ISD,False,False
3418000,WILLINGBORO TOWNSHIP,False,False
4221120,SELINSGROVE AREA SD,False,False
3904603,EASTERN LOCAL,False,False
1802040,NORTHWESTERN SCHOOL CORP,False,False
2012210,TONGANOXIE,False,False
4611760,CENTERVILLE SCHOOL DISTRICT 60-1,False,False
5302400,EDMONDS SCHOOL DISTRICT,False,False
0400239,P.L.C. CHARTER SCHOOLS,False,False
4017880,LITTLE AXE,False,False
1803940,GREATER CLARK COUNTY SCHOOLS,False,False
3408520,LEONIA,False,False
0408020,ST DAVID UNIFIED DISTRICT,False,False
2500029,NEIGHBORHOOD HOUSE CHARTER (DISTRICT),False,True
0633720,ROUND VALLEY UNIFIED,False,True
